,Disease_ID,Disease_Name,Target_ID,Target_Symbol,score,evidenceCount,id
8082,Orphanet_98985,Cataract with Y-shaped suture opacities,ENSG00000135517,MIP,0.776109673692532,106.0,4284
8287,Orphanet_98988,Anterior polar cataract,ENSG00000100053,CRYBB3,0.7588082095544469,65.0,1417
8488,Orphanet_98992,Partial congenital cataract,ENSG00000109846,CRYAB,0.6773796353573168,43.0,1410
8632,Orphanet_98992,Partial congenital cataract,ENSG00000163820,FYCO1,0.7165283616033219,267.0,79443
8649,Orphanet_98992,Partial congenital cataract,ENSG00000170819,BFSP2,0.686315801981794,10.0,8419
8756,Orphanet_98993,Posterior polar cataract,ENSG00000101421,CHMP4B,0.6354072074018582,12.0,128866
8771,Orphanet_98993,Posterior polar cataract,ENSG00000107859,PITX3,0.7284054256242782,16.0,5309
8775,Orphanet_98993,Posterior polar cataract,ENSG00000109846,CRYAB,0.7221086515903128,52.0,1410
8805,Orphanet_98993,Posterior polar cataract,ENSG00000121743,GJA3,0.8163277054087571,169.0,2700
8863,Orphanet_98993,Posterior polar cataract,ENSG00000142627,EPHA2,0.7440069190808909,173.0,1969
8942,Orphanet_98993,Posterior polar cataract,ENSG00000186790,FOXE3,0.701480328428165,35.0,2301
9129,Orphanet_98994,Total congenital cataract,ENSG00000135517,MIP,0.7769727326018505,180.0,4284
9161,Orphanet_98994,Total congenital cataract,ENSG00000142627,EPHA2,0.7448036440903051,175.0,1969
9204,Orphanet_98994,Total congenital cataract,ENSG00000160285,LSS,0.6210083772061351,23.0,4047
9277,Orphanet_98994,Total congenital cataract,ENSG00000188158,NHS,0.6449621925850786,31.0,4810
9306,Orphanet_98994,Total congenital cataract,ENSG00000213139,CRYGS,0.7049420998096223,50.0,1427
9327,Orphanet_99001,Butterfly-shaped pigment dystrophy,ENSG00000044115,CTNNA1,0.7276259369263077,26.0,1495
9340,Orphanet_99001,Butterfly-shaped pigment dystrophy,ENSG00000112619,PRPH2,0.7660718408801346,128.0,5961
9404,Orphanet_99013,Autosomal recessive spastic paraplegia type 7,ENSG00000197912,SPG7,0.8171370770933197,430.0,6687
9432,Orphanet_99014,X-linked Charcot-Marie-Tooth disease type 5,ENSG00000147224,PRPS1,0.6187408399114069,7.0,5631
9482,Orphanet_99015,Spastic paraplegia type 2,ENSG00000123560,PLP1,0.8124574072006645,152.0,5354
9576,Orphanet_99739,Rare familial disorder with hypertrophic cardiomyopathy,ENSG00000111245,MYL2,0.7344107740936882,299.0,4633
9590,Orphanet_99739,Rare familial disorder with hypertrophic cardiomyopathy,ENSG00000140416,TPM1,0.6315946789514286,75.0,7168
9609,Orphanet_99739,Rare familial disorder with hypertrophic cardiomyopathy,ENSG00000228253,MT-ATP8,0.6092934548760293,5.0,4509
9621,Orphanet_99750,Atypical progressive supranuclear palsy,ENSG00000186868,MAPT,0.6130460766467736,15.0,4137
10113,Orphanet_99812,LIG4 syndrome,ENSG00000174405,LIG4,0.8064768005025139,412.0,3981
10127,Orphanet_99817,Non-polyposis Turcot syndrome,ENSG00000076242,MLH1,0.7179906379303582,81.0,4292
10128,Orphanet_99817,Non-polyposis Turcot syndrome,ENSG00000095002,MSH2,0.6681385646885951,37.0,4436
10129,Orphanet_99817,Non-polyposis Turcot syndrome,ENSG00000116062,MSH6,0.6140372998118018,40.0,2956
10130,Orphanet_99817,Non-polyposis Turcot syndrome,ENSG00000122512,PMS2,0.6377519390515293,55.0,5395
10174,Orphanet_99842,Leukocyte adhesion deficiency type I,ENSG00000160255,ITGB2,0.8162937239643852,592.0,3689
10316,Orphanet_99844,Leukocyte adhesion deficiency type III,ENSG00000149781,FERMT3,0.7653493451277487,342.0,83706
10434,Orphanet_99880,Hyperparathyroidism-jaw tumor syndrome,ENSG00000134371,CDC73,0.7587348895676964,186.0,79577
10443,Orphanet_99936,Autosomal dominant Charcot-Marie-Tooth disease type 2B,ENSG00000075785,RAB7A,0.722689072898539,125.0,7879
10466,Orphanet_99937,Autosomal dominant Charcot-Marie-Tooth disease type 2C,ENSG00000111199,TRPV4,0.7547776805303793,17.0,59341
10482,Orphanet_99938,Autosomal dominant Charcot-Marie-Tooth disease type 2D,ENSG00000106105,GARS1,0.7709140091954915,115.0,2617
10557,Orphanet_99939,Autosomal dominant Charcot-Marie-Tooth disease type 2E,ENSG00000277586,NEFL,0.7911363728948783,299.0,4747
10566,Orphanet_99940,Autosomal dominant Charcot-Marie-Tooth disease type 2F,ENSG00000106211,HSPB1,0.7984183182595764,219.0,3315
10601,Orphanet_99942,Autosomal dominant Charcot-Marie-Tooth disease type 2I,ENSG00000158887,MPZ,0.7619364387951764,19.0,4359
10614,Orphanet_99943,Autosomal dominant Charcot-Marie-Tooth disease type 2J,ENSG00000158887,MPZ,0.6826961204592408,7.0,4359
10642,Orphanet_99945,Autosomal dominant Charcot-Marie-Tooth disease type 2L,ENSG00000152137,HSPB8,0.7065960053400286,144.0,26353
10745,Orphanet_99947,Autosomal dominant Charcot-Marie-Tooth disease type 2A2,ENSG00000116688,MFN2,0.7869419795048704,85.0,9927
10840,Orphanet_85453,X-linked reticulate pigmentary disorder with systemic manifestations,ENSG00000101868,POLA1,0.6910964152420985,20.0,5422
10856,Orphanet_85458,Hereditary cerebral hemorrhage with amyloidosis,ENSG00000142192,APP,0.6286523598786126,18.0,351
11283,Orphanet_859,Transcobalamin deficiency,ENSG00000185339,TCN2,0.6518742091133096,325.0,6948
11478,Orphanet_860,Congenitally uncorrected transposition of the great arteries,ENSG00000123066,MED13L,0.6343085791783487,227.0,23389
11490,Orphanet_860,Congenitally uncorrected transposition of the great arteries,ENSG00000130283,GDF1,0.6856922249126951,16.0,2657
11666,Orphanet_868,Triose phosphate-isomerase deficiency,ENSG00000111669,TPI1,0.7399929968296429,63.0,7167
11703,Orphanet_86818,Alport syndrome - intellectual disability - midface hypoplasia - elliptocytosis,ENSG00000101935,AMMECR1,0.6432981379918211,12.0,9949
11725,Orphanet_869,Triple A syndrome,ENSG00000094914,AAAS,0.7388644351535373,170.0,8086
11736,Orphanet_869,Triple A syndrome,ENSG00000144591,GMPPA,0.7672844977295373,67.0,29926
11963,Orphanet_871,Familial progressive cardiac conduction defect,ENSG00000130529,TRPM4,0.7865693651297253,817.0,54795
12159,Orphanet_871,Familial progressive cardiac conduction defect,ENSG00000183873,SCN5A,0.8022543417549198,456.0,6331
12214,Orphanet_87876,sialidosis type II,ENSG00000204386,NEU1,0.8154342673045409,88.0,4758
12397,Orphanet_882,Tyrosinemia type 1,ENSG00000103876,FAH,0.8304148338603636,450.0,2184
12539,Orphanet_88618,Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency,ENSG00000101444,AHCY,0.7264778469116342,99.0,191
12626,Orphanet_88628,Posterior column ataxia - retinitis pigmentosa,ENSG00000162769,FLVCR1,0.7573604888898512,178.0,28982
12650,Orphanet_88629,Tritanopia,ENSG00000128617,OPN1SW,0.7183836751772323,11.0,611
12705,Orphanet_88630,Terminal osseous dysplasia - pigmentary defects,ENSG00000196924,FLNA,0.7452074860065266,58.0,2316
12837,Orphanet_88632,Familial ocular anterior segment mesenchymal dysgenesis,ENSG00000107859,PITX3,0.7316294769872471,19.0,5309
13113,Orphanet_88632,Familial ocular anterior segment mesenchymal dysgenesis,ENSG00000160111,CPAMD8,0.6708192821359038,12.0,27151
13270,Orphanet_88632,Familial ocular anterior segment mesenchymal dysgenesis,ENSG00000186790,FOXE3,0.6521902014679073,26.0,2301
13352,Orphanet_88637,Hypomyelination - hypogonadotropic hypogonadism - hypodontia,ENSG00000013503,POLR3B,0.8000528031377625,124.0,55703
13360,Orphanet_88637,Hypomyelination - hypogonadotropic hypogonadism - hypodontia,ENSG00000148606,POLR3A,0.7975746586497501,229.0,11128
13369,Orphanet_88639,Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency,ENSG00000198130,HIBCH,0.7670571226497137,92.0,26275
13370,Orphanet_88642,Channelopathy-associated congenital insensitivity to pain,ENSG00000169432,SCN9A,0.7389548986758581,249.0,6335
13492,Orphanet_891,Familial exudative vitreoretinopathy,ENSG00000106025,TSPAN12,0.7712563604233443,112.0,23554
13588,Orphanet_891,Familial exudative vitreoretinopathy,ENSG00000124479,NDP,0.7720905102256054,69.0,4693
13776,Orphanet_891,Familial exudative vitreoretinopathy,ENSG00000162337,LRP5,0.8454479587067608,371.0,4041
13827,Orphanet_891,Familial exudative vitreoretinopathy,ENSG00000168036,CTNNB1,0.7080881806092418,24.0,1499
13869,Orphanet_891,Familial exudative vitreoretinopathy,ENSG00000174804,FZD4,0.8073333279457531,219.0,8322
13870,Orphanet_891,Familial exudative vitreoretinopathy,ENSG00000175213,ZNF408,0.6652894117141097,19.0,79797
14061,Orphanet_89838,KRT14-related epidermolysis bullosa simplex,ENSG00000186847,KRT14,0.723130740519934,20.0,3861
14070,Orphanet_89844,"Lissencephaly syndrome, Norman-Roberts type",ENSG00000189056,RELN,0.6848271313732051,2130.0,5649
14105,Orphanet_89936,X-linked hypophosphatemia,ENSG00000102174,PHEX,0.8301218825477467,523.0,5251
14284,Orphanet_90,Argininemia,ENSG00000118520,ARG1,0.8249806837455297,335.0,383
14484,Orphanet_903,Von Willebrand disease,ENSG00000110799,VWF,0.8493886342197131,1732.0,7450
14754,Orphanet_90318,Ehlers-Danlos syndrome type 2,ENSG00000204262,COL5A2,0.6456212811628063,160.0,1290
14764,Orphanet_90342,Xeroderma pigmentosum variant,ENSG00000170734,POLH,0.8017737792486179,246.0,5429
14829,Orphanet_90641,Mitochondrial non-syndromic sensorineural deafness,ENSG00000198804,MT-CO1,0.6811739718278436,14.0,4512
14832,Orphanet_90641,Mitochondrial non-syndromic sensorineural deafness,ENSG00000198888,MT-ND1,0.6645800555613307,11.0,4535
14838,Orphanet_90641,Mitochondrial non-syndromic sensorineural deafness,ENSG00000211459,MT-RNR1,0.6333161454305348,6.0,4549
14927,Orphanet_90796,"46,XY disorder of sex development due to isolated 17,20 lyase deficiency",ENSG00000151632,AKR1C2,0.685657379044902,10.0,1646
16435,Orphanet_91130,Cardiomyopathy - hypotonia - lactic acidosis,ENSG00000075415,SLC25A3,0.7059536615011289,44.0,5250
16499,Orphanet_91132,Ichthyosis-hypotrichosis syndrome,ENSG00000088002,SULT2B1,0.6490944946590353,12.0,6820
16774,Orphanet_91132,Ichthyosis-hypotrichosis syndrome,ENSG00000149418,ST14,0.7474500892832311,27.0,6768
16879,Orphanet_91132,Ichthyosis-hypotrichosis syndrome,ENSG00000170426,SDR9C7,0.6535347300085567,11.0,121214
17042,Orphanet_912,Zellweger syndrome,ENSG00000034693,PEX3,0.8083327823350845,91.0,8504
17058,Orphanet_912,Zellweger syndrome,ENSG00000108733,PEX12,0.8071683814403611,371.0,5193
17070,Orphanet_912,Zellweger syndrome,ENSG00000121680,PEX16,0.7845881932347861,94.0,9409
17073,Orphanet_912,Zellweger syndrome,ENSG00000124587,PEX6,0.8361408554401873,328.0,5190
17077,Orphanet_912,Zellweger syndrome,ENSG00000127980,PEX1,0.8360816991104784,1258.0,5189
17088,Orphanet_912,Zellweger syndrome,ENSG00000139197,PEX5,0.7882513355167927,162.0,5830
17090,Orphanet_912,Zellweger syndrome,ENSG00000142655,PEX14,0.769952461883639,79.0,5195
17102,Orphanet_912,Zellweger syndrome,ENSG00000157911,PEX10,0.7966395425529001,229.0,5192
17106,Orphanet_912,Zellweger syndrome,ENSG00000162735,PEX19,0.8039507481140912,296.0,5824
17108,Orphanet_912,Zellweger syndrome,ENSG00000162928,PEX13,0.7746830365327411,363.0,5194
17112,Orphanet_912,Zellweger syndrome,ENSG00000164751,PEX2,0.7909043353012046,383.0,5828
17141,Orphanet_912,Zellweger syndrome,ENSG00000215193,PEX26,0.8175687930424582,374.0,55670
17163,Orphanet_91411,Congenital ptosis,ENSG00000188517,COL25A1,0.6247875769783315,11.0,84570
17522,Orphanet_92050,Intestinal epithelial dysplasia,ENSG00000119888,EPCAM,0.7413894826093267,57.0,4072
18000,Orphanet_927,Hyperammonemia due to N-acetylglutamate synthetase deficiency,ENSG00000161653,NAGS,0.8059115915409384,336.0,162417
18239,Orphanet_93114,Autosomal dominant intermediate Charcot-Marie-Tooth disease type E,ENSG00000203485,INF2,0.8124474149454035,857.0,64423
18321,Orphanet_93160,Hypocalcemic vitamin D-resistant rickets,ENSG00000111424,VDR,0.8293151814600161,226.0,7421
18519,Orphanet_93262,Crouzon syndrome - acanthosis nigricans,ENSG00000068078,FGFR3,0.7738483193099824,41.0,2261
18610,Orphanet_93271,"Short rib-polydactyly syndrome, Verma-Naumoff type",ENSG00000118965,WDR35,0.8171565459513073,422.0,57539
18611,Orphanet_93271,"Short rib-polydactyly syndrome, Verma-Naumoff type",ENSG00000119333,DYNC2I2,0.759785637075562,202.0,89891
18619,Orphanet_93271,"Short rib-polydactyly syndrome, Verma-Naumoff type",ENSG00000126870,DYNC2I1,0.6984163609121519,207.0,55112
18670,Orphanet_93271,"Short rib-polydactyly syndrome, Verma-Naumoff type",ENSG00000187240,DYNC2H1,0.8313561500847074,475.0,79659
18713,Orphanet_93282,"Spondyloepimetaphyseal dysplasia, Pakistani type",ENSG00000198682,PAPSS2,0.7191005026455376,155.0,9060
18786,Orphanet_93296,Achondrogenesis type 2,ENSG00000139219,COL2A1,0.7472257347105622,22.0,1280
18864,Orphanet_93298,Achondrogenesis type 1B,ENSG00000155850,SLC26A2,0.7887004380670245,511.0,1836
18896,Orphanet_93299,Achondrogenesis type 1A,ENSG00000100815,TRIP11,0.7643194623480256,416.0,9321
18980,Orphanet_93338,Polysyndactyly,ENSG00000106571,GLI3,0.661779521218244,134.0,2737
19092,Orphanet_93346,"Spondyloepimetaphyseal dysplasia congenita, Strudwick type",ENSG00000139219,COL2A1,0.7750046828958177,52.0,1280
19210,Orphanet_93357,SPONASTRIME dysplasia,ENSG00000160949,TONSL,0.7140300936274975,15.0,4796
19352,Orphanet_93358,Spondyloepimetaphyseal dysplasia - short limb - abnormal calcification,ENSG00000162733,DDR2,0.7522790485480892,78.0,4921
19397,Orphanet_93372,Familial hypocalciuric hypercalcemia type 1,ENSG00000036828,CASR,0.8402100189869395,289.0,846
19499,Orphanet_93403,Syndactyly type 2,ENSG00000128714,HOXD13,0.7183668568242539,36.0,3239
19614,Orphanet_93610,Distal renal tubular acidosis with anemia,ENSG00000004939,SLC4A1,0.7837400336077133,70.0,6521
19663,Orphanet_93951,X-linked dominant intellectual disability - epilepsy syndrome,ENSG00000149970,CNKSR2,0.7014536688223626,29.0,22866
19921,Orphanet_94065,15q24 microdeletion syndrome,ENSG00000169375,SIN3A,0.7242447039291794,46.0,25942
20229,Orphanet_94150,Anonychia congenita totalis,ENSG00000101282,RSPO4,0.7057948613770347,8.0,343637
20483,Orphanet_95434,Autosomal recessive cerebellar ataxia - saccadic intrusion,ENSG00000048707,VPS13D,0.7976943377083748,62.0,55187
20607,Orphanet_95494,"Combined pituitary hormone deficiencies, genetic forms",ENSG00000064835,POU1F1,0.7499304878286994,17.0,5449
20650,Orphanet_95494,"Combined pituitary hormone deficiencies, genetic forms",ENSG00000121454,LHX4,0.6109527349197101,65.0,89884
20705,Orphanet_95494,"Combined pituitary hormone deficiencies, genetic forms",ENSG00000163666,HESX1,0.8138355645738753,27.0,8820
20711,Orphanet_95494,"Combined pituitary hormone deficiencies, genetic forms",ENSG00000165588,OTX2,0.7013408505748421,41.0,5015
20728,Orphanet_95494,"Combined pituitary hormone deficiencies, genetic forms",ENSG00000175325,PROP1,0.8130404967798018,105.0,5626
20806,Orphanet_758,Pseudoxanthoma elasticum,ENSG00000091262,ABCC6,0.8634333419620533,947.0,368
20919,Orphanet_75840,"Congenital muscular dystrophy, Ullrich type",ENSG00000142156,COL6A1,0.7785849882253579,103.0,1291
20920,Orphanet_75840,"Congenital muscular dystrophy, Ullrich type",ENSG00000142173,COL6A2,0.7902261603886405,97.0,1292
20931,Orphanet_75840,"Congenital muscular dystrophy, Ullrich type",ENSG00000163359,COL6A3,0.7451810668578674,101.0,1293
21316,Orphanet_766,Hemolytic anemia due to red cell pyruvate kinase deficiency,ENSG00000143627,PKLR,0.8404311234734281,159.0,5313
21664,Orphanet_77258,Trichorhinophalangeal syndrome type 1 and 3,ENSG00000104447,TRPS1,0.8040291258465815,232.0,7227
21837,Orphanet_77259,Gaucher disease type 1,ENSG00000177628,GBA1,0.8215477338520065,269.0,2629
21908,Orphanet_77260,Gaucher disease type 2,ENSG00000177628,GBA1,0.7870117016999576,111.0,2629
21980,Orphanet_77261,Gaucher disease type 3,ENSG00000177628,GBA1,0.745463894074682,101.0,2629
22002,Orphanet_77298,Anophthalmia/microphthalmia - esophageal atresia,ENSG00000181449,SOX2,0.7965736087394152,86.0,6657
22016,Orphanet_773,Refsum disease,ENSG00000107537,PHYH,0.8187218324611526,112.0,5264
22018,Orphanet_773,Refsum disease,ENSG00000112357,PEX7,0.7910721174691044,344.0,5191
22054,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000004848,ARX,0.7752010597396821,343.0,170302
22064,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000008056,SYN1,0.626987643531767,11.0,6853
22071,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000018610,STEEP1,0.620853511630737,11.0,63932
22099,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000068366,ACSL4,0.7150495927754508,26.0,2182
22100,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000068438,FTSJ1,0.7055795350189553,14.0,24140
22109,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000073464,CLCN4,0.809329222838571,52.0,1183
22113,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000077264,PAK3,0.7430385312882976,47.0,5063
22119,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000080561,MID2,0.6222546641446318,12.0,11043
22123,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000082458,DLG3,0.7187825216154239,25.0,1741
22158,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000102003,SYP,0.7158410793792749,17.0,6855
22247,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000124313,IQSEC2,0.8168171634709663,590.0,23096
22249,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000124486,USP9X,0.7724564487841796,51.0,8239
22258,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000125676,THOC2,0.7459280395755644,54.0,57187
22281,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000131263,RLIM,0.6711514100398838,17.0,51132
22370,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000147180,ZNF711,0.7655222113294545,55.0,7552
22407,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000155961,RAB39B,0.7041727733108523,38.0,116442
22411,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000156298,TSPAN7,0.6995944763043097,14.0,7102
22501,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000169306,IL1RAPL1,0.7158307005488822,45.0,11141
22509,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000169933,FRMPD4,0.6276413158804276,35.0,9758
22556,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000177189,RPS6KA3,0.7461360880782621,70.0,6197
22664,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000203879,GDI1,0.7456718091414306,23.0,2664
22681,Orphanet_777,X-linked non-syndromic intellectual disability,ENSG00000215301,DDX3X,0.798205133649602,132.0,1654
23263,Orphanet_79091,Hereditary inclusion body myopathy - joint contractures - ophthalmoplegia,ENSG00000125414,MYH2,0.6578204517879597,764.0,4620
23415,Orphanet_79095,Congenital bile acid synthesis defect type 4,ENSG00000242110,AMACR,0.723460064141047,241.0,23600
23421,Orphanet_79107,Developmental malformations - deafness - dystonia,ENSG00000075624,ACTB,0.6658202063586857,64.0,60
23580,Orphanet_79124,Hepatic veno-occlusive disease - immunodeficiency,ENSG00000135899,SP110,0.7251515990203916,299.0,3431
23810,Orphanet_79137,Generalized epilepsy - paroxysmal dyskinesia,ENSG00000156113,KCNMA1,0.7807239339028179,680.0,3778
23831,Orphanet_79143,Congenital anonychia,ENSG00000101282,RSPO4,0.7278616390696061,17.0,343637
23888,Orphanet_79153,Autosomal dominant nail dysplasia,ENSG00000164930,FZD6,0.6374866583129635,11.0,8323
23995,Orphanet_79168,Disorder of bile acid synthesis,ENSG00000168306,ACOX2,0.6315551956330586,14.0,8309
24020,Orphanet_79189,Peroxisome biogenesis disorder-Zellweger syndrome spectrum,ENSG00000108733,PEX12,0.6653160765575807,359.0,5193
24024,Orphanet_79189,Peroxisome biogenesis disorder-Zellweger syndrome spectrum,ENSG00000121680,PEX16,0.7353943396846563,271.0,9409
24036,Orphanet_79189,Peroxisome biogenesis disorder-Zellweger syndrome spectrum,ENSG00000139197,PEX5,0.7448782491065259,500.0,5830
24049,Orphanet_79189,Peroxisome biogenesis disorder-Zellweger syndrome spectrum,ENSG00000164751,PEX2,0.7489130473392964,49.0,5828
24066,Orphanet_79189,Peroxisome biogenesis disorder-Zellweger syndrome spectrum,ENSG00000215193,PEX26,0.7465894186916835,364.0,55670
